city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Bni Oual,Bni Oual,34.6748,-5.6495,Morocco,MA,MAR,Rabat-Salé-Kénitra,,10014.0,1504403642
Tourza,Tourza,29.3885,-9.9607,Morocco,MA,MAR,Guelmim-Oued Noun,,10007.0,1504097455
Tiztoutine,Tiztoutine,34.9716,-3.1527,Morocco,MA,MAR,Oriental,,10000.0,1504907240
Arbaa Ayacha,Arbaa Ayacha,35.383,-5.8333,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,9991.0,1504048390
Foum Zguid,Foum Zguid,30.0861,-6.8736,Morocco,MA,MAR,Souss-Massa,,9903.0,1504624650
Tizi Ouzli,Tizi Ouzli,34.7625,-3.7953,Morocco,MA,MAR,Fès-Meknès,,9852.0,1504925242
Tadla,Tadla,32.4396,-8.3465,Morocco,MA,MAR,Marrakech-Safi,,9840.0,1504540569
Mirleft,Mirleft,29.5782,-10.034,Morocco,MA,MAR,Guelmim-Oued Noun,,9828.0,1504612129
Bouabout,Bouabout,31.2655,-9.1786,Morocco,MA,MAR,Marrakech-Safi,,9825.0,1504119259
Ech Chaïbat,Ech Chaibat,31.6,-7.85,Morocco,MA,MAR,Marrakech-Safi,,9821.0,1504590724
Oulad Ayyad,Oulad Ayyad,34.0837,-4.6101,Morocco,MA,MAR,Béni Mellal-Khénifra,,9763.0,1504480318
Douar Brarba,Douar Brarba,34.45,-4.2972,Morocco,MA,MAR,Fès-Meknès,,9763.0,1504010915
Sidi Ahmed El Khadir,Sidi Ahmed El Khadir,32.5167,-7.3833,Morocco,MA,MAR,Casablanca-Settat,,9731.0,1504732408
Hetane,Hetane,32.8403,-6.8025,Morocco,MA,MAR,Béni Mellal-Khénifra,,9727.0,1504001674
Al Hammam,Al Hammam,33.1735,-5.4713,Morocco,MA,MAR,Béni Mellal-Khénifra,,9697.0,1504972770
Sidi Bousber,Sidi Bousber,34.5667,-5.3667,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,9671.0,1504787633
Oulad Imloul,Oulad Imloul,32.0333,-7.7167,Morocco,MA,MAR,Marrakech-Safi,,9659.0,1504403330
Ameskroud,Ameskroud,30.5308,-9.3283,Morocco,MA,MAR,Souss-Massa,,9648.0,1504251726
Sidi El Hattab,Sidi El Hattab,32.2667,-7.2833,Morocco,MA,MAR,Marrakech-Safi,,9638.0,1504871106
Boujediane,Boujediane,35.1114,-5.7822,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,9624.0,1504110188
Douar Lehouifrat,Douar Lehouifrat,32.28,-8.31,Morocco,MA,MAR,Marrakech-Safi,,9610.0,1504757840
Tinajdad,Tinajdad,31.9304,-4.4231,Morocco,MA,MAR,Drâa-Tafilalet,,9528.0,1504176217
Dar Si Aissa,Dar Si Aissa,32.4199,-8.908,Morocco,MA,MAR,Marrakech-Safi,,9528.0,1504931442
Kourimat,Kourimat,31.4603,-9.2833,Morocco,MA,MAR,Marrakech-Safi,,9526.0,1504079071
Oulad Chbana,Oulad Chbana,33.05,-7.3833,Morocco,MA,MAR,Casablanca-Settat,,9513.0,1504908719
Iksane,Iksane,35.1333,-3.0333,Morocco,MA,MAR,Oriental,,9502.0,1504090383
Douar Messassa,Douar Messassa,34.2803,-4.5336,Morocco,MA,MAR,Fès-Meknès,,9501.0,1504026758
Gaada,Gaada,35.1594,-2.9892,Morocco,MA,MAR,Oriental,,9496.0,1504325635
Zawyat Sidi al Mekki,Zawyat Sidi al Mekki,33.2122,-7.7164,Morocco,MA,MAR,Casablanca-Settat,,9476.0,1504769333
Nzalat Bni Amar,Nzalat Bni Amar,34.0981,-5.4161,Morocco,MA,MAR,Fès-Meknès,,9471.0,1504089771
El Marmouta,El Marmouta,32.1202,-7.4039,Morocco,MA,MAR,Marrakech-Safi,,9468.0,1504673974
Sidi Abdallah,Sidi Abdallah,32.5783,-7.8108,Morocco,MA,MAR,Marrakech-Safi,,9447.0,1504890231
Douar Oulad Bouziane,Douar Oulad Bouziane,34.2325,-5.0444,Morocco,MA,MAR,Fès-Meknès,,9444.0,1504500363
Had Dra,Had Dra,31.5833,-9.5333,Morocco,MA,MAR,Marrakech-Safi,,9435.0,1504953934
Sgamna,Sgamna,32.7342,-7.2033,Morocco,MA,MAR,Casablanca-Settat,,9427.0,1504088334
Mokrisset,Mokrisset,34.91,-5.3536,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,9413.0,1504941621
Ait Touil,Ait Touil,33.7842,-6.1281,Morocco,MA,MAR,Rabat-Salé-Kénitra,,9375.0,1504272494
Foum Jam’a,Foum Jam'a,31.96,-6.98,Morocco,MA,MAR,Béni Mellal-Khénifra,,9373.0,1504414947
Taouz,Taouz,30.9069,-3.9958,Morocco,MA,MAR,Drâa-Tafilalet,,9360.0,1504003008
Laanoussar,Laanoussar,33.6833,-4.8167,Morocco,MA,MAR,Fès-Meknès,,9343.0,1504953318
La’tamna,La'tamna,31.9192,-7.3307,Morocco,MA,MAR,Marrakech-Safi,,9318.0,1504778865
Zawyat Sidi Ben Hamdoun,Zawyat Sidi Ben Hamdoun,33.045,-7.9292,Morocco,MA,MAR,Casablanca-Settat,,9315.0,1504593978
Oued El Makhazine,Oued El Makhazine,34.9333,-5.85,Morocco,MA,MAR,Rabat-Salé-Kénitra,,9289.0,1504125049
Douar Oulad Sidi Moussa,Douar Oulad Sidi Moussa,32.3353,-7.1528,Morocco,MA,MAR,Casablanca-Settat,,9260.0,1504471740
Bouhlou,Bouhlou,34.1333,-4.4,Morocco,MA,MAR,Fès-Meknès,,9259.0,1504965177
Sidi Bounaga,Sidi Bounaga,30.7106,-8.34,Morocco,MA,MAR,Souss-Massa,,9241.0,1504324945
Had Laaounate,Had Laaounate,32.6128,-8.2256,Morocco,MA,MAR,Casablanca-Settat,,9201.0,1504308918
Bir Gandús,Bir Gandus,21.6157,-16.4687,Morocco,MA,MAR,Dakhla-Oued Ed-Dahab,,9183.0,1504999980
Taghbalt,Taghbalt,30.62,-5.35,Morocco,MA,MAR,Drâa-Tafilalet,,9176.0,1504290154
Oulad Khallouf,Oulad Khallouf,31.7956,-7.0692,Morocco,MA,MAR,Marrakech-Safi,,9172.0,1504052239
Imilchil,Imilchil,32.155,-5.6347,Morocco,MA,MAR,Drâa-Tafilalet,,9164.0,1504516929
Mwaline al Oued,Mwaline al Oued,33.4467,-7.3283,Morocco,MA,MAR,Casablanca-Settat,,9117.0,1504001943
Jemaat Oulad Mhamed,Jemaat Oulad Mhamed,33.0939,-7.0519,Morocco,MA,MAR,Casablanca-Settat,,9081.0,1504791929
Talsint,Talsint,32.6444,-3.4846,Morocco,MA,MAR,Oriental,,9079.0,1504691780
Tarhjicht,Tarhjicht,29.0565,-9.428,Morocco,MA,MAR,Guelmim-Oued Noun,,9059.0,1504845971
Tiddas,Tiddas,33.5682,-6.2668,Morocco,MA,MAR,Rabat-Salé-Kénitra,,9013.0,1504837627
Freïja,Freija,30.4833,-8.7833,Morocco,MA,MAR,Souss-Massa,,9005.0,1504074088
Douar El Gouzal,Douar El Gouzal,34.4972,-4.1268,Morocco,MA,MAR,Fès-Meknès,,8992.0,1504849237
’Aïn Leuh,'Ain Leuh,33.3044,-5.3399,Morocco,MA,MAR,Fès-Meknès,,8989.0,1504668626
Oulad ’Azzouz,Oulad 'Azzouz,32.7693,-6.7543,Morocco,MA,MAR,Béni Mellal-Khénifra,,8983.0,1504559202
Sidi Dahbi,Sidi Dahbi,33.05,-7.1833,Morocco,MA,MAR,Casablanca-Settat,,8972.0,1504613432
Beni Oulid,Beni Oulid,34.5897,-4.4514,Morocco,MA,MAR,Fès-Meknès,,8967.0,1504501654
Bir Tam Tam,Bir Tam Tam,33.9831,-4.6397,Morocco,MA,MAR,Fès-Meknès,,8954.0,1504669372
Ksar Lmajaz,Ksar Lmajaz,35.8448,-5.5519,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,8949.0,1504167905
Bounaamane,Bounaamane,29.5283,-9.8044,Morocco,MA,MAR,Souss-Massa,,8932.0,1504463740
Bni Sidel,Bni Sidel,35.1294,-3.1237,Morocco,MA,MAR,Oriental,,8930.0,1504766280
Awfouss,Awfouss,31.7,-4.1167,Morocco,MA,MAR,Drâa-Tafilalet,,8888.0,1504561866
Smimou,Smimou,31.2301,-9.7025,Morocco,MA,MAR,Marrakech-Safi,,8883.0,1504484591
Lambarkiyine,Lambarkiyine,33.2,-7.5,Morocco,MA,MAR,Casablanca-Settat,,8863.0,1504527523
