city,date,temperature_max,temperature_min,precipitation_sum,precipitation_probability_max,wind_speed_max,wind_gusts_max,weather_code
Ain El Aouda,2026-09-21,35.8,19.9,0.0,0,16.9,33.8,2
Ain El Aouda,2026-09-22,34.4,17.7,0.0,0,15.5,30.6,0
Errachidia,2026-09-20,29.5,19.2,0.0,20,10.2,22.7,3
Errachidia,2026-09-21,30.7,20.0,0.5,18,15.1,32.8,80
Errachidia,2026-09-22,30.3,19.0,0.0,0,12.8,26.3,3
Al Fqih Ben Çalah,2026-09-20,38.4,23.0,0.0,5,15.2,36.4,2
Al Fqih Ben Çalah,2026-09-21,38.3,20.6,0.0,0,14.9,27.7,2
Al Fqih Ben Çalah,2026-09-22,37.0,18.5,0.0,0,17.8,32.4,2
Ad Darwa,2026-09-20,35.0,19.6,0.0,0,16.0,32.0,2
Ad Darwa,2026-09-21,37.2,21.3,0.0,0,17.9,36.4,2
Ad Darwa,2026-09-22,34.6,18.5,0.0,0,15.5,30.2,0
Martil,2026-09-20,24.3,22.8,3.0,45,25.6,54.7,80
Martil,2026-09-21,25.0,22.0,0.1,3,20.9,42.8,3
Martil,2026-09-22,24.8,20.9,0.0,0,18.0,37.8,3
Sidi Slimane,2026-09-20,39.6,23.4,0.0,0,17.6,37.1,1
Sidi Slimane,2026-09-21,38.2,22.5,0.0,0,15.3,31.3,2
Sidi Slimane,2026-09-22,36.6,19.4,0.0,0,14.3,31.7,3
Oued Zem,2026-09-20,35.3,22.5,0.0,0,20.2,50.4,3
Oued Zem,2026-09-21,34.9,22.8,0.0,3,19.4,39.6,3
Oued Zem,2026-09-22,34.1,21.5,0.0,0,18.0,34.9,2
Sefrou,2026-09-20,31.9,20.9,0.0,0,17.4,38.5,2
Sefrou,2026-09-21,31.7,22.4,0.0,0,19.1,41.8,2
Sefrou,2026-09-22,30.5,20.2,0.0,0,17.9,38.5,1
Taroudannt,2026-09-20,40.1,23.4,0.0,3,24.8,52.6,3
Taroudannt,2026-09-21,40.0,23.4,0.0,0,23.3,45.4,3
Taroudannt,2026-09-22,41.0,23.5,0.0,0,23.5,47.2,2
Essaouira,2026-09-20,25.3,19.0,0.0,0,11.4,23.4,3
Essaouira,2026-09-21,27.2,19.7,0.0,0,9.7,19.1,3
Essaouira,2026-09-22,28.5,21.0,0.0,0,16.6,32.0,1
Azrou,2026-09-20,28.4,18.0,0.0,33,18.1,41.8,3
Azrou,2026-09-21,28.5,17.9,0.0,0,19.3,43.6,2
Azrou,2026-09-22,27.3,15.1,0.0,0,16.6,40.3,1
Guercif,2026-09-20,31.4,20.9,0.0,0,27.4,52.6,2
Guercif,2026-09-21,31.2,20.9,0.0,0,26.9,50.4,3
Guercif,2026-09-22,31.1,16.7,0.0,0,20.9,37.8,3
Warzat,2026-09-20,29.6,18.9,0.3,15,10.7,25.2,61
Warzat,2026-09-21,29.2,19.6,0.9,25,21.0,36.4,80
Warzat,2026-09-22,32.7,15.8,0.0,0,27.4,55.1,1
Fnidq,2026-09-20,24.2,22.6,2.8,45,28.8,52.2,80
Fnidq,2026-09-21,25.1,21.9,0.0,3,21.7,42.1,2
Fnidq,2026-09-22,24.9,20.6,0.0,0,22.0,41.8,3
Tan-Tan,2026-09-20,31.6,19.1,0.0,0,17.3,33.8,3
Tan-Tan,2026-09-21,33.5,19.3,0.0,0,24.4,45.0,3
Tan-Tan,2026-09-22,37.0,20.8,0.0,0,21.3,40.3,3
Sidi Qacem,2026-09-20,38.8,25.0,0.0,0,15.5,39.2,1
Sidi Qacem,2026-09-21,37.8,24.5,0.0,0,13.8,29.5,2
Sidi Qacem,2026-09-22,36.1,20.8,0.0,0,11.5,24.8,2
M’diq,2026-09-20,24.2,22.6,3.0,0,25.6,54.7,80
M’diq,2026-09-21,24.9,21.8,0.1,0,20.9,42.8,3
M’diq,2026-09-22,24.6,20.8,0.0,0,18.0,37.8,3
Youssoufia,2026-09-20,37.6,22.2,0.0,3,20.4,42.8,2
Youssoufia,2026-09-21,37.8,23.7,0.0,0,19.8,41.0,3
Youssoufia,2026-09-22,37.2,21.2,0.0,0,16.7,33.8,0
Midalt,2026-09-20,28.2,13.9,0.1,18,24.6,46.4,3
Midalt,2026-09-21,28.7,14.8,0.0,0,23.0,40.3,3
Midalt,2026-09-22,27.8,14.6,0.0,0,20.6,36.0,2
Aïn Harrouda,2026-09-20,31.1,19.8,0.0,0,11.3,31.0,2
Aïn Harrouda,2026-09-21,32.1,20.9,0.0,0,13.0,35.3,2
Aïn Harrouda,2026-09-22,30.9,19.0,0.0,0,10.8,29.9,45
Souq Sebt Oulad Nemma,2026-09-20,38.6,22.9,0.0,3,12.5,24.5,3
Souq Sebt Oulad Nemma,2026-09-21,38.5,22.0,0.0,5,10.7,19.8,2
Souq Sebt Oulad Nemma,2026-09-22,37.2,20.9,0.0,0,12.2,21.6,1
Mehdya,2026-09-20,35.4,19.8,0.0,0,11.3,28.4,1
Mehdya,2026-09-21,32.3,20.6,0.0,0,11.0,25.9,2
Mehdya,2026-09-22,30.5,19.7,0.0,0,10.9,25.6,2
Ouezzane,2026-09-20,36.7,21.0,0.0,0,16.7,31.7,1
Ouezzane,2026-09-21,36.1,20.5,0.0,0,12.2,23.4,1
Ouezzane,2026-09-22,34.8,18.5,0.0,0,8.4,17.3,3
Semara,2026-09-20,36.0,19.1,0.0,0,16.4,24.8,3
Semara,2026-09-21,42.3,23.5,0.0,10,26.1,45.0,3
Semara,2026-09-22,42.2,27.9,0.0,4,28.5,46.4,3
Ait Ourir,2026-09-20,35.5,23.5,0.0,25,13.7,26.6,3
Ait Ourir,2026-09-21,35.6,24.1,0.0,5,16.8,32.8,3
Ait Ourir,2026-09-22,35.4,22.0,0.0,0,14.3,28.1,1
Oulad Tayeb,2026-09-20,35.3,20.4,0.0,0,16.5,32.0,2
Oulad Tayeb,2026-09-21,34.9,21.1,0.0,0,15.4,29.9,2
Oulad Tayeb,2026-09-22,33.7,19.5,0.0,0,13.6,26.6,1
Tit Mellil,2026-09-20,32.0,19.6,0.0,0,11.9,32.8,2
Tit Mellil,2026-09-21,33.1,21.0,0.0,0,13.8,37.8,2
Tit Mellil,2026-09-22,31.5,18.9,0.0,0,11.7,31.7,45
Sidi Bennour,2026-09-20,38.3,19.0,0.0,0,19.9,35.3,2
Sidi Bennour,2026-09-21,38.6,20.8,0.0,0,20.9,36.4,2
Sidi Bennour,2026-09-22,37.4,16.9,0.0,0,18.8,33.1,0
Temsia,2026-09-20,29.9,20.7,0.0,0,17.3,37.1,45
Temsia,2026-09-21,39.9,22.7,0.0,0,14.2,30.6,3
Temsia,2026-09-22,38.8,23.5,0.0,0,24.3,51.1,2
Biougra,2026-09-20,30.9,20.6,0.0,0,20.2,33.5,2
Biougra,2026-09-21,40.2,23.0,0.0,0,16.4,27.7,3
Biougra,2026-09-22,40.4,24.9,0.0,0,26.6,47.2,2
Al Hoceïma,2026-09-20,27.9,23.0,0.0,0,28.0,51.1,2
